Age;Prob2die;Prob2survive
0;0.006081;0.993919
1;0.000425;0.999575
2;0.00026;0.99974
3;0.000194;0.999806
4;0.000154;0.999846
5;0.000142;0.999858
6;0.000135;0.999865
7;0.000127;0.999873
8;0.000116;0.999884
9;0.000104;0.999896
10;0.000097;0.999903
11;0.000106;0.999894
12;0.000144;0.999856
13;0.00022;0.99978
14;0.000323;0.999677
15;0.000437;0.999563
16;0.000552;0.999448
17;0.000675;0.999325
18;0.000806;0.999194
19;0.000939;0.999061
20;0.001079;0.998921
21;0.001215;0.998785
22;0.001327;0.998673
23;0.001406;0.998594
24;0.001461;0.998539
25;0.001507;0.998493
26;0.001557;0.998443
27;0.00161;0.99839
28;0.001668;0.998332
29;0.001732;0.998268
30;0.001795;0.998205
31;0.001858;0.998142
32;0.001923;0.998077
33;0.001992;0.998008
34;0.002064;0.997936
35;0.002145;0.997855
36;0.002231;0.997769
37;0.002316;0.997684
38;0.002398;0.997602
39;0.002482;0.997518
40;0.00258;0.99742
41;0.002697;0.997303
42;0.002828;0.997172
43;0.002976;0.997024
44;0.003146;0.996854
45;0.00334;0.99666
46;0.003567;0.996433
47;0.003833;0.996167
48;0.004143;0.995857
49;0.004499;0.995501
50;0.00489;0.99511
51;0.005321;0.994679
52;0.00581;0.99419
53;0.006363;0.993637
54;0.006973;0.993027
55;0.007629;0.992371
56;0.008322;0.991678
57;0.009049;0.990951
58;0.009806;0.990194
59;0.010595;0.989405
60;0.011452;0.988548
61;0.012358;0.987642
62;0.013255;0.986745
63;0.014126;0.985874
64;0.015006;0.984994
65;0.016001;0.983999
66;0.017124;0.982876
67;0.018298;0.981702
68;0.019519;0.980481
69;0.020847;0.979153
70;0.022381;0.977619
71;0.024185;0.975815
72;0.026266;0.973734
73;0.02866;0.97134
74;0.031401;0.968599
75;0.034618;0.965382
76;0.038263;0.961737
77;0.04219;0.95781
78;0.046367;0.953633
79;0.050948;0.949052
80;0.056237;0.943763
81;0.06236;0.93764
82;0.069226;0.930774
83;0.076884;0.923116
84;0.085452;0.914548
85;0.095062;0.904938
86;0.105829;0.894171
87;0.117838;0.882162
88;0.131138;0.868862
89;0.145751;0.854249
90;0.161678;0.838322
91;0.178905;0.821095
92;0.197408;0.802592
93;0.217149;0.782851
94;0.23808;0.76192
95;0.258821;0.741179
96;0.278966;0.721034
97;0.298092;0.701908
98;0.315762;0.684238
99;0.33155;0.66845
100;0.348128;0.651872
101;0.365534;0.634466
102;0.383811;0.616189
103;0.403001;0.596999
104;0.423151;0.576849
105;0.444309;0.555691
106;0.466524;0.533476
107;0.489851;0.510149
108;0.514343;0.485657
109;0.54006;0.45994
110;0.567063;0.432937
111;0.595417;0.404583
112;0.625187;0.374813
113;0.656447;0.343553
114;0.689269;0.310731
115;0.723732;0.276268
116;0.759919;0.240081
117;0.797915;0.202085
118;0.837811;0.162189
119;0.879701;0.120299
